make,model,start_year,end_year
Toyota,Camry,1982,2026
Toyota,Corolla,1966,2026
Toyota,Land Cruiser,1951,2026
Toyota,Prado,1984,2026
Toyota,Fortuner,2004,2026
Toyota,Hilux,1968,2026
Toyota,Yaris,1999,2026
Toyota,RAV4,1994,2026
Toyota,Avalon,1994,2026
Toyota,Sequoia,2000,2026
Nissan,Patrol,1951,2026
Nissan,Altima,1992,2026
Nissan,Maxima,1976,2026
Nissan,Sentra,1982,2026
Nissan,Pathfinder,1985,2026
Nissan,Armada,2003,2026
Nissan,Kicks,2016,2026
Nissan,X-Trail,2000,2026
Honda,Accord,1976,2026
Honda,Civic,1972,2026
Honda,CR-V,1995,2026
Honda,Pilot,2002,2026
Honda,HR-V,1998,2026
Hyundai,Sonata,1985,2026
Hyundai,Elantra,1990,2026
Hyundai,Tucson,2004,2026
Hyundai,Santa Fe,2000,2026
Hyundai,Accent,1994,2026
Hyundai,Creta,2014,2026
Kia,Sportage,1993,2026
Kia,Sorento,2002,2026
Kia,Cerato,2003,2026
Kia,Stinger,2017,2026
Kia,Telluride,2019,2026
Kia,Carnival,1998,2026
Ford,F-150,1948,2026
Ford,Explorer,1990,2026
Ford,Edge,2006,2026
Ford,Mustang,1964,2026
Ford,Bronco,1965,2026
Ford,Expedition,1996,2026
Chevrolet,Malibu,1964,2026
Chevrolet,Tahoe,1992,2026
Chevrolet,Suburban,1935,2026
Chevrolet,Silverado,1999,2026
Chevrolet,Traverse,2008,2026
Chevrolet,Camaro,1966,2026
Chevrolet,Corvette,1953,2026
Dodge,Charger,1964,2026
Dodge,Challenger,1970,2026
Dodge,Durango,1997,2026
Dodge,RAM 1500,1980,2026
Jeep,Wrangler,1986,2026
Jeep,Grand Cherokee,1992,2026
Jeep,Cherokee,1974,2026
Jeep,Compass,2006,2026
Jeep,Gladiator,2019,2026
BMW,3 Series,1975,2026
BMW,5 Series,1972,2026
BMW,7 Series,1977,2026
BMW,X1,2009,2026
BMW,X3,2003,2026
BMW,X5,1999,2026
BMW,X6,2008,2026
BMW,X7,2018,2026
BMW,M3,1986,2026
BMW,M5,1985,2026
Mercedes-Benz,C-Class,1993,2026
Mercedes-Benz,E-Class,1953,2026
Mercedes-Benz,S-Class,1954,2026
Mercedes-Benz,GLC,2015,2026
Mercedes-Benz,GLE,2011,2026
Mercedes-Benz,GLS,2012,2026
Mercedes-Benz,A-Class,1997,2026
Mercedes-Benz,CLA,2013,2026
Mercedes-Benz,G-Class,1979,2026
Audi,A3,1996,2026
Audi,A4,1994,2026
Audi,A6,1994,2026
Audi,A8,1994,2026
Audi,Q3,2011,2026
Audi,Q5,2008,2026
Audi,Q7,2005,2026
Audi,Q8,2018,2026
Audi,e-tron,2018,2026
Volkswagen,Golf,1974,2026
Volkswagen,Passat,1973,2026
Volkswagen,Tiguan,2007,2026
Volkswagen,Touareg,2002,2026
Volkswagen,Jetta,1979,2026
Volkswagen,Polo,1975,2026
Porsche,911,1963,2026
Porsche,Cayenne,2002,2026
Porsche,Macan,2014,2026
Porsche,Panamera,2009,2026
Porsche,Taycan,2019,2026
Land Rover,Range Rover,1970,2026
Land Rover,Range Rover Sport,2005,2026
Land Rover,Defender,1983,2026
Land Rover,Discovery,1989,2026
Land Rover,Freelander,1997,2015
Tesla,Model S,2012,2026
Tesla,Model 3,2017,2026
Tesla,Model X,2015,2026
Tesla,Model Y,2020,2026
Tesla,Cybertruck,2023,2026
Lexus,LX,1996,2026
Lexus,GX,2002,2026
Lexus,RX,1997,2026
Lexus,ES,1989,2026
Lexus,IS,1998,2026
Lexus,LS,1989,2026
Mitsubishi,Pajero,1981,2024
Mitsubishi,Eclipse Cross,2017,2026
Mitsubishi,Outlander,2001,2026
Mitsubishi,Lancer,1973,2017
Infiniti,QX80,2010,2026
Infiniti,QX60,2012,2026
Infiniti,Q50,2013,2026
Infiniti,Q60,2016,2026
Genesis,G80,2016,2026
Genesis,GV80,2020,2026
Genesis,G70,2018,2026
Cadillac,Escalade,1999,2026
Cadillac,CT5,2019,2026
Cadillac,XT5,2016,2026
Lincoln,Navigator,1997,2026
Lincoln,Corsair,2019,2026
Maserati,Ghibli,2013,2026
Maserati,Levante,2016,2026
Maserati,Quattroporte,2003,2026
Bentley,Bentayga,2015,2026
Bentley,Continental GT,2003,2026
Rolls-Royce,Ghost,2009,2026
Rolls-Royce,Phantom,1925,2026
Rolls-Royce,Cullinan,2018,2026
Lamborghini,Urus,2018,2026
Lamborghini,Huracan,2014,2026
Lamborghini,Aventador,2011,2022
Ferrari,Roma,2019,2026
Ferrari,Portofino,2017,2026
Ferrari,F8 Tributo,2019,2022
